tier,modality,dataset,n_truth_records,run,guard,basis,eligible,answered,error,skipped,coverage,failure_rate,TP,FP,TN,FN,accuracy,precision,recall,recall_ci95,fpr,fpr_ci95,f1_unsafe,macro_f1,auroc,low_sample_warn,note
formal,text,WildGuardMix test full (1959+250 probe),1959,wildguardmix_test/out_text_real,rule,answered_only,1959,1959,0,0,1.0000,0.0000,77,188,1487,207,0.7984,0.2906,0.2711,"[0.223,0.326]",0.1122,"[0.098,0.128]",0.2805,0.5816,N/A(no continuous score),no,"as-run: llama native argmax, rule 0/1; pre-M3.6 threshold"
formal,text,WildGuardMix test full (1959+250 probe),1959,wildguardmix_test/out_text_real,rule,failure_as_wrong,1959,1959,0,0,1.0000,0.0000,77,188,1487,207,0.7984,0.2906,0.2711,"[0.223,0.326]",0.1122,"[0.098,0.128]",0.2805,0.5816,N/A(basis),no,"as-run: llama native argmax, rule 0/1; pre-M3.6 threshold"
formal,text,WildGuardMix test full (1959+250 probe),1959,wildguardmix_test/out_text_real,llama-guard,answered_only,1959,1911,48,0,0.9755,0.0245,175,104,1542,90,0.8985,0.6272,0.6604,"[0.601,0.715]",0.0632,"[0.052,0.076]",0.6434,0.7921,0.8881,no,"as-run: llama native argmax, rule 0/1; pre-M3.6 threshold"
formal,text,WildGuardMix test full (1959+250 probe),1959,wildguardmix_test/out_text_real,llama-guard,failure_as_wrong,1959,1911,48,0,0.9755,0.0245,175,133,1542,109,0.8765,0.5682,0.6162,"[0.558,0.671]",0.0794,"[0.067,0.093]",0.5912,0.7592,N/A(basis),no,"as-run: llama native argmax, rule 0/1; pre-M3.6 threshold"
formal,text,Judge stratified subset (120),120,wildguardmix_test/out_judge_subset,rule,answered_only,120,120,0,0,1.0000,0.0000,11,10,70,29,0.6750,0.5238,0.2750,"[0.161,0.428]",0.1250,"[0.069,0.215]",0.3607,0.5714,N/A(no continuous score),no,120 = 40 unsafe/40 safe/40 XSTest
formal,text,Judge stratified subset (120),120,wildguardmix_test/out_judge_subset,rule,failure_as_wrong,120,120,0,0,1.0000,0.0000,11,10,70,29,0.6750,0.5238,0.2750,"[0.161,0.428]",0.1250,"[0.069,0.215]",0.3607,0.5714,N/A(basis),no,120 = 40 unsafe/40 safe/40 XSTest
formal,text,Judge stratified subset (120),120,wildguardmix_test/out_judge_subset,llama-guard,answered_only,120,118,2,0,0.9833,0.0167,22,7,73,16,0.8051,0.7586,0.5789,"[0.422,0.721]",0.0875,"[0.043,0.170]",0.6567,0.7603,0.9089,no,120 = 40 unsafe/40 safe/40 XSTest
formal,text,Judge stratified subset (120),120,wildguardmix_test/out_judge_subset,llama-guard,failure_as_wrong,120,118,2,0,0.9833,0.0167,22,7,73,18,0.7917,0.7586,0.5500,"[0.398,0.693]",0.0875,"[0.043,0.170]",0.6377,0.7457,N/A(basis),no,120 = 40 unsafe/40 safe/40 XSTest
formal,text,Judge stratified subset (120),120,wildguardmix_test/out_judge_subset,llm-judge,answered_only,120,119,1,0,0.9917,0.0083,30,12,67,10,0.8151,0.7143,0.7500,"[0.598,0.858]",0.1519,"[0.089,0.247]",0.7317,0.7953,0.8951,no,120 = 40 unsafe/40 safe/40 XSTest
formal,text,Judge stratified subset (120),120,wildguardmix_test/out_judge_subset,llm-judge,failure_as_wrong,120,119,1,0,0.9917,0.0083,30,13,67,10,0.8083,0.6977,0.7500,"[0.598,0.858]",0.1625,"[0.097,0.258]",0.7229,0.7882,N/A(basis),no,120 = 40 unsafe/40 safe/40 XSTest
formal,image,UnsafeBench test full int8 (2037),2037,unsafebench_test/out_m3_real,caption-rule,answered_only,2037,1428,609,0,0.7010,0.2990,11,12,853,552,0.6050,0.4783,0.0195,"[0.011,0.035]",0.0139,"[0.008,0.024]",0.0375,0.3945,N/A(no continuous score),no,"as-run: int8 production, pre-M3.6 threshold 0.5"
formal,image,UnsafeBench test full int8 (2037),2037,unsafebench_test/out_m3_real,caption-rule,failure_as_wrong,2037,1428,609,0,0.7010,0.2990,11,407,853,766,0.4242,0.0263,0.0142,"[0.008,0.025]",0.3230,"[0.298,0.349]",0.0184,0.3055,N/A(basis),no,"as-run: int8 production, pre-M3.6 threshold 0.5"
formal,image,UnsafeBench test full int8 (2037),2037,unsafebench_test/out_m3_real,shieldgemma2,answered_only,2037,1642,395,0,0.8061,0.1939,81,51,941,569,0.6224,0.6136,0.1246,"[0.101,0.152]",0.0514,"[0.039,0.067]",0.2072,0.4797,0.6133,no,"as-run: int8 production, pre-M3.6 threshold 0.5"
formal,image,UnsafeBench test full int8 (2037),2037,unsafebench_test/out_m3_real,shieldgemma2,failure_as_wrong,2037,1642,395,0,0.8061,0.1939,81,319,941,696,0.5017,0.2025,0.1042,"[0.085,0.128]",0.2532,"[0.230,0.278]",0.1376,0.3936,N/A(basis),no,"as-run: int8 production, pre-M3.6 threshold 0.5"
cpu-ref,image,UnsafeBench CPU bf16 ref (150),150,unsafebench_test/out_cpu_ref150,shieldgemma2,answered_only,150,150,0,0,1.0000,0.0000,21,1,89,39,0.7333,0.9545,0.3500,"[0.242,0.476]",0.0111,"[0.002,0.060]",0.5122,0.6644,0.7190,no,CPU bf16 truth reference
cpu-ref,image,UnsafeBench CPU bf16 ref (150),150,unsafebench_test/out_cpu_ref150,shieldgemma2,failure_as_wrong,150,150,0,0,1.0000,0.0000,21,1,89,39,0.7333,0.9545,0.3500,"[0.242,0.476]",0.0111,"[0.002,0.060]",0.5122,0.6644,N/A(basis),no,CPU bf16 truth reference
cpu-ref,image,UnsafeBench CPU NaN-crosscheck (12),18,unsafebench_test/out_cpu_crosscheck,shieldgemma2,answered_only,18,18,0,0,1.0000,0.0000,5,1,10,2,0.8333,0.8333,0.7143,"[0.359,0.918]",0.0909,"[0.016,0.377]",0.7692,0.8194,0.7403,yes,12 int8-NaN imgs scored on CPU bf16
cpu-ref,image,UnsafeBench CPU NaN-crosscheck (12),18,unsafebench_test/out_cpu_crosscheck,shieldgemma2,failure_as_wrong,18,18,0,0,1.0000,0.0000,5,1,10,2,0.8333,0.8333,0.7143,"[0.359,0.918]",0.0909,"[0.016,0.377]",0.7692,0.8194,N/A(basis),yes,12 int8-NaN imgs scored on CPU bf16
E3-recovery,image,"E3 NaN-recovery subset (100, cpu-bf16@0.30)",100,unsafebench_test/out_e3,shieldgemma2,answered_only,100,100,0,0,1.0000,0.0000,11,4,68,17,0.7900,0.7333,0.3929,"[0.236,0.576]",0.0556,"[0.022,0.134]",0.5116,0.6889,0.6751,yes,100 int8-NaN imgs recovered via cpu-bf16 (M3.7)
E3-recovery,image,"E3 NaN-recovery subset (100, cpu-bf16@0.30)",100,unsafebench_test/out_e3,shieldgemma2,failure_as_wrong,100,100,0,0,1.0000,0.0000,11,4,68,17,0.7900,0.7333,0.3929,"[0.236,0.576]",0.0556,"[0.022,0.134]",0.5116,0.6889,N/A(basis),yes,100 int8-NaN imgs recovered via cpu-bf16 (M3.7)
